question,a,b,c,d,e,answer,split
"다음을 읽고 내용이 같은 것을 고르십시오.  ### 참고: 청소년기는 부모로부터 독립하려는 욕구가 강한 시기이므로 부모의 방과 어느 정도 거리를 두어배치한다. 이때 주거 공간에 대한 요구가 커지는 시기이므로 될 수 있으면 넓은 공간을 배정한다. 또한, 형제자매 간이라도 독립된 공간을 주는 것이 좋고, 만약 이것이 어려울 때는 칸막이나 가구등을 이용하여 사생활을 보장하도록 한다. 또 자신의 공간에 대해서는 최대한 개성과 바람을 반영시키는 등 자율성을 부과하고, 스스로 정리, 정돈하는 습관을 심어 주어 책임감을 키울 수 있도록해야 한다.",자녀의 방은 부모가 꾸며 주어야 한다.,형제자매 간에는 방을 함께 쓰는 것이 좋다.,칸막이는 형제자매가 같이 지낼 경우에만 배치한다.,넓은 공간을 배정하여 청소년기의 욕구를 만족시킬 수 있다.,,d,RC
"다음을 읽고 내용이 같은 것을 고르십시오.  ### 참고: 지금까지 서양인들만을 대상으로 연구한 문화적 보편성은 잘못된 것일 수도 있다. 동양인들은 작은 부분보다는 큰 그림을 보기 때문에 사물과 전체적 맥락을 연결시켜 지각하는 경향이 있고, 따라서 전체에서 특정 부분을 떼어 내어 독립적으로 바라보는 것을 낯설어 한다. 반면에 서양인들은 사물에 초점을 두고 주변 맥락에는 무관심한 경향이 있기 때문에, 사건과 사건 사이의 관계에 대해상대적으로 덜 민감한 편이다. 지각 및 인지 과정의 어떤 부분이 문화 보편적이고, 어떤 부분이 문화에 따라 달라지는지는 앞으로 많은 연구를 통하여 보완되어야 할 것이다.",동양인들은 큰 그림보다는 작은 부분을 중점적으로 지각하곤 한다.,서양인들은 맥락에 관심이 없기 때문에 사건 사이의 관계에 주목한다.,동양인들은 사물과 전체적 맥락을 연결시키는 것을 어려워하는 경향이 있다.,문화적 보편성은 서양인들만을 대상으로 한 연구이므로 수정될 여지가 있다.,,d,RC
"다음을 읽고 내용이 같은 것을 고르십시오.  ### 참고: 화난 사람들의 행동 양식은 크게 두 부류로 나눌 수 있다. 아예 말을 하지 않거나 방에 틀어박혀있거나 닥치는 대로 먹고 잠을 자는 등, 화를 참거나 자신에게 푸는 경우가 있다. 반면, 물건을 부수거나 큰 소리로 울거나 폭언과 폭력을 가하는 등 공격적으로 화를 표현하는 경우도 있다. 공격적인 화 표현은 오히려 자신을 더 화나게 만들고, 상대방으로부터 거절당해서 좌절감을 더 키운다. 화를 참는 것은 나중에 폭발할 수도 있으며 자꾸 쌓아두면 병이 되기도 하고, 스스로에게 푼다고해서 화가 풀리는 것은 아니다. 그러므로 두 가지 모두 바람직한 화 표현 방법이라고 할 수 없다. 화난 마음을 잘 전달하기 위해서는 자신이 ‘화난 이유’와 ‘화난 감정’, 앞으로 상대방이 어떻게 해주길 바라는지 혹은 상황이 어떻게 바뀌길 원하는지를 말해야 자신의 화가 상대방에게 제대로 전달된다.",화를 표현할 때는 화난 이유를 포함시켜야만 좋은 표현법이라고 할 수 있다.,화가 나면 큰 소리로 우는 것과 같은 행동을 통해 화난 감정을 전달해야 한다.,화난 마음을 상대방에게 표현하는 것은 오히려 화를 더 키우는 결과를 초래한다.,화난 사람들의 행동 양식은 폭력을 가하는 경우와 공격적 성향으로 구분할 수 있다.,,a,RC
"다음을 읽고 중심 생각을 고르십시오.  ### 참고: 영양소가 균형 잡히지 않은 식단과 잘못된 운동 방법은 체중 감량에 효과적이지 않을 뿐만 아니라 몸에 악영향을 줄 수 있다. 그리고 단기간에 체중을 감량했더라도 꾸준히 관리하지 않으면 금방다시 원래의 체중으로 돌아오는 요요 현상이 나타나기가 쉽다. 최근 체중 감량을 위해 ‘살 빼는 약’을 복용하는 사람들이 많다고 하는데, 성분이나 효과가 확실하지 않은 약을 잘못 먹으면 오히려 건강을 해칠 수도 있다. 이와 같이, 약에 의한 방법보다는 스스로 식생활에 유의하고 운동 계획을 세워서 실천하는 것이 가장 바람직하다.",운동은 체중감량에 가장 효과적인 방법이다.,체중 감량에는 살 빼는 약이 효과가 거의 없다.,장기간에 체중을 감량하면 요요 현상을 겪지 않는다.,체중 감량을 위해서는 식이요법과 운동을 병행해야 한다.,,d,RC
"다음을 읽고 중심 생각을 고르십시오.  ### 참고: 흔히 외동아이는 버릇없고 이기적이고 거만하고 과잉보호를 받아 자기밖에 모르며, 다른 사람과나눌 줄 모른다고 생각된다. 외동아이들이 종종 자기중심적인 아이가 되는 이유는 부모의 관심을독차지하고 부모는 아무 경험도 없이 육아를 하게 되기 때문이다. 이런 가정에서는 아이가 늘 가족의 중심이다. 외동아이는 모든 기대와 사랑을 한 몸에 받는다. 전문가들은 외동아이를 유치원에 보낼 것을 적극 권한다. 다른 아이들과 사귀면서 함께 어울리는 데 필요한 규칙을 배울 수 있기 때문이다. 외동아이는 다 이기적이라는 생각은 타당성이 없다. 다만 외부 요인이 아이들을 그렇게 만드는 것이다.",외동아이는 다른 아이와 사귀어야 한다.,외동아이는 자기 자신만 아는 경향이 있다.,외동아이의 성격은 외부요인에 의한 것이다.,형제가 많은 아이가 외동아이보다 나을 것이다.,,c,RC
"다음을 읽고 중심 생각을 고르십시오.  ### 참고: 저출산 문제를 해결하기 위한 정부의 정책은 상대적으로 보육지원 부분에 편중되어 있다는 느낌이 든다. 육아·보육비 지원이나 국공립 보육시설의 확대 등의 정책도 중요하지만 둘째 아이 출산으로 이어질 수 있도록 하려면 무엇보다 사회·문화적으로 양성평등의 기반이 마련되어야 할 것이고, 여성의 경제활동 참여를 뒷받침하는 인프라 구축이 선행되어야 한다. 이를 위해서는 남성육아휴직을 활성화하고 이를 활용하는 기업에 혜택을 주는 등의 제도를 도입해 가족과 직장에 대한 책임이남녀 모두에게 동등하게 적용될 수 있도록 해야 한다.",여성의 경제활동 참여를 위해 보육지원 정책을 확대해야 한다.,남성도 육아에 참여할 수 있도록 하는 제도적 뒷받침이 시급하다.,저출산 문제를 해결하려면 먼저 사회적 양성평등이 이루어져야 한다.,여성의 출산 장려는 정부 정책보다 기업 문화의 변화로부터 시작된다.,,c,RC
다음을 읽고 <빈칸>에 들어갈 알맞은 것을 고르십시오.  ### 참고: 몽골의 지배를 받던 고려시대 때에는 매사냥이 성행했다. 당시 궁궐에서부터 시작된 매사냥은 귀족 사회로까지 번져나가 많은 이들이 매사냥을 즐겼다. 이렇게 매사냥 인구가 늘어나다 보니 길들인 사냥매를 도둑맞는 일이 잦아졌다. 이 때문에 서로 자기 매에게 특별한 꼬리표를 달아 표시했는데 그것을 ‘시치미’라고 불렀다. “시치미를 떼다.”라는 말은 남의 매를 잡아 시치미를 떼면 누구의매인지 알 수 없게 되어버린다는 데서 나온 말이다. 오늘날에는<빈칸>을 일컫는말로 사용되고 있다.,타인의 물건을 훔치는 것,알고도 모르는 체 하는 것,시계의 침을 떼어 버리는 것,어떤 사물에서 가장 핵심적인 것,,b,RC
"다음을 읽고 글 뒤에 이어질 내용으로 알맞은 것을 고르십시오.  ### 참고: ""몸에 좋은 약은 입에 쓰다.""라는 말이 있다. 좋은 약은 쓴맛 때문에 먹기는 괴로우나 병에 이롭다는 뜻이다. 입에 쓰다고 약을 주지 않거나 약을 먹지 않으면 병을 고칠 수 없다. 어떤 대상에 대하여 비판을 하는 것도 마찬가지이다. 남을 비판하기를 꺼리거나, 반대로 귀에 거슬린다고 남의 비판을 제대로 듣지 않으면 갈등이 심해지고 문제가 더 커질 수 있다.",남의 비판을 듣지 않는 이유,몸에 좋은 약과 비판의 관계,갈등을 피하고 용인하는 방법,남의 비판을 바르게 듣는 방법,,d,RC
"다음을 읽고 글 뒤에 이어질 내용으로 알맞은 것을 고르십시오.  ### 참고: 텔레비전 토론 프로그램에 대해 비판적 입장을 견지하는 학자들은 상당수의 프로그램이 다양한공적 문제에 대해 공정한 정보를 전달하기 보다는 각자이해관계에 있는 집단들의 주장을 편향되게전달한다고 주장한다. 그들은 텔레비전 토론 프로그램이 공론장으로 기능하기 보다는 사회적 의제에 대한 대중의 관심을 오히려 멀어지게 하고, 특정 입장을 홍보하는 이른바 ‘유사 공론장’으로 변질되고 있다고 보는 것이다.",텔레비전 토론 프로그램의 가치,텔레비전 토론 프로그램의 공익성,텔레비전 토론 프로그램의 역기능,텔레비전 토론 프로그램의 성립 요건,,c,RC
"다음을 읽고 글 뒤에 이어질 내용으로 알맞은 것을 고르십시오.  ### 참고: 2009년 국내에 처음 출시된 아이폰은 스마트폰의 대중화를 이끌었다. 비록 빠른 속도로 스마트시대에 접어들게 되었지만, 동시에 스마트폰의 폐해도 빠르게 확산되고 있다. 특히 아동과 청소년들의 스마트폰 중독은 심각한 수준이라는 지적이 나오고 있는데 스마트폰 중독은 나이가 어릴수록심각하다. 지난해 스마트폰 중독 조사에서도 청소년의 중독 비율이 11.4%로 성인(7.9%)의 경우보다 높았다. 이는 매우 심각한 사회 문제라고 할 수 있다.",스마트폰이 사회 발전에 공헌하는 정도,스마트폰의 중독이 심각한 문제인 이유,스마트폰의 대중화가 가져온 산업의 변화,스마트폰의 사용으로 청소년들이 얻는 장점,,b,RC
"다음을 읽고 글 뒤에 이어질 내용으로 알맞은 것을 고르십시오.  ### 참고: 상품에도 인간의 삶처럼 생애 주기가 있다. 태어나서 자라고 쇠퇴하는 시기를 겪는다. 따라서 상품에 대한 광고 역시 이러한 주기에 맞춰서 적절한 전략을 짜야 한다. 상품이 처음에 시장에 등장하는 것이 도입기다. 이 시기에는 판매량이 적고 경쟁자가 없다. 그 다음은 성장기인데, 상품이 널리 알려짐에 따라 판매량이 늘어나고 경쟁 상품이 출현하게 된다. 성숙기에 이르면 판매량이 정점에 이르지만 경쟁 상품과의 경쟁 또한 치열하게 전개된다. 그리고 일정 기간이 지나면 판매량이 정체되거나 감소되는 쇠퇴기를 맞게 된다. 물론 쇠퇴기를 맞았다고 해서 상품의 생명이 끝나는 것은아니다.",상품 생애 주기별 경쟁의 방법,쇠퇴기를 맞은 상품의 대응 방법,상품이 사회 변화에 적응하는 방법,한 상품이 다른 상품과 차별화하는 방법,,b,RC
"다음을 읽고 글의 제목으로 가장 알맞은 것을 고르십시오.  ### 참고: 숲은 자연재해와 공해로부터 우리를 보호하는 기능을 한다. 대표적인 보호 기능으로는 산사태 방지, 기후 보호, 시야 보호 등을 들 수 있다. 산사태 방지는 집중 호우나 장마기에 나무뿌리와 줄기가 젖은 땅이 통째로 쓸려 나가는 것을 막아 주어 인명과 재산을 보호해 주는 기능이다. 기후 보호는 숲이 주거지, 휴양 시설, 농업 용지 등을 찬 공기와 세찬 바람으로부터 보호하고 대기 순환을 원활하게 하여 주거지의 생활환경을 개선하는 것으로, 대도시 주변에 숲을 유지하는 그린벨트에서실제 예를 찾아볼 수 있다. 시계 보호는 숲이 자연 경관을 저해하는 대상물을 시야에서 차단하고외부로부터 들여다보이는 것을 막는 기능이다.",인간을 보호하는 숲의 기능,산사태 방지를 위한 우리의 자세,"그린벨트, 주거지를 지켜주는 보호자",숲은 자연재해를 피할 수 있는 최적의 장소,,a,RC
"다음을 읽고 글의 제목으로 가장 알맞은 것을 고르십시오.  ### 참고: 대부분의 물고기는 몸통의 양쪽에 있는 새엽과 새판이라고 하는 부분이 들어 있는 아치 모양의구조인 아가미로 숨을 쉰다. 산소를 함유한 물이 물고기의 열린 입을 통해 흘러 들어온 다음 아가미를 지나 나가는데 물이 흘러 지나갈 때 아가미갈퀴가 입자들을 걸러낸다. 그리고 새엽과 새판을흐르는 피가 혈류에 산소를 전달한다. 새엽과 새판은 이산화탄소를 몸통에서 아가미로 버리며, 물이 이 이산화탄소를 몸통 바깥으로 실어나가는 것이다. 상어과 경골어류를 비롯한 많은 어류종은호흡을 도와주는 펌핑매커니즘이 있다. 반대로 물 밖에 나온 물고기는 숨이 막히는데, 아가미 구조가 무너지면서 산소 교환이 계속되지 않기 때문이다.",물고기의 생존 환경,물고기 아가미의 구조,물고기가 호흡하는 원리,물고기의 새엽과새판의 기능,,c,RC
"다음을 읽고 글의 제목으로 가장 알맞은 것을 고르십시오.  ### 참고: 폭염과 열대야가 연일 계속되고 있는 가운데 도심 속 무더위 휴식처로 시립중앙도서관이 인기를얻고 있다. 여름방학과 휴가철을 맞아 7~8월 하루 평균 2,000여명이 도서관 자료실과 열람실을 이용하며 붐비고 있다. 이는 지난 해 1일 연평균 이용자 1539명 보다 29% 늘어난 수치다. 이 기간 중1일 도서 열람건수도 2,490여권으로 지난 해 1일 평균열람 2,060권과 비교해 20% 정도 증가했다. 특히 종합자료실과 어린이자료실의 경우 학부모·자녀와 함께하는 가족단위 이용객이 급증하며 아침 일찍부터 자리 경쟁을 한다. 도서관은 이 같은 이용자 증가에 따라 여름철 열람실 개방시간을자정까지로 확대 운영하고, 이 달 들어 인기 문학 작품 800권 등 신간도서 2,500여권을 확충하는등 폭염과 열대야를 피해 도서관을 찾은 주민들에게 휴식공간을 제공하고 있다. 도서관 관계자는 ""도서관 이용자들이 쾌적한 환경 속에서 책도 읽고 무더위도 피할 수 있도록 노력하겠다.""라고 말했다.",도서관의 주요 열람 목록,"책 읽고, 더위도 피하고 '일석이조'","폭염과 열대야, 휴식이 필요한 현대인","지역사회 현안, 시급한 도서관의 확충 문제",,b,RC
다음을 읽고 글을 쓴 목적으로 가장 알맞은 것을 고르십시오.  ### 참고: 교육이 학문과 긴밀하게 관련되어 있으리라는 생각은 직감적으로 매우 호소력이 있어 보인다. 그러나 이 때 우리는 그 교육이라는 것이 무엇인지를 먼저 검토해야 한다. 이 과정을 생략한다면 우리는 관련을 따지기도 전에 개념의 모호성과 혼란의 소용돌이에 휩싸여 한 발자국의 진전도 이룰수 없을 것이다.,교육과 학문의 연관성을 논증하기 위해서,교육의 다양한 개념에 대해 설명하기 위해서,교육의 본질에 대한 검토를 주장하기 위해서,교육의 개념이 지닌 모호성을 비판하기 위해서,,c,RC
"다음을 읽고 글을 쓴 목적으로 가장 알맞은 것을 고르십시오.  ### 참고: 특정 해외 영화 한 편이 60%가 넘는 상영관 수를 점유하면서 영화 산업에서도 독과점 현상이 벌어지고 있습니다. 이러한 현상을 상영관의 수가 아니라 상영 회수와 관객 수로 따지면 80%에 달합니다. 상황이 이러니 대부분의 한국영화는 제작되어도 상영할 공간이 없습니다. 또한 겨우 상영되더라도 관객이 찾지 않는 아침과 밤에 상영되다 보니, 관객을 제대로 동원하지도 못하고 곧 막을내리고 맙니다. 인기가 있는 소수의 해외 영화보다 다양한 영화를 상영하는 것이 장기적으로 영화산업 성장에 도움이 된다는 점을 염두에 두고 이러한 환경의 조성을 위해 정부가 힘써야 할 때입니다.",다양한 영화가 제작될 수 있는 환경을 조사하기 위해서,특정 영화에 지나친 인기가 몰리는 현상을 지적하기 위해서,상대적으로 열악한 한국영화를 지원하자고 주장하기 위해서,특정 영화가 과반수의 상영관을 차지하는 현상을 경계하기 위해서,,d,RC
"다음을 읽고 ㉠의 의미로 가장 알맞은 것을 고르십시오.  ### 참고: 무성영화에서 유성영화로 전환되는 1920년대 말에서 1930년대 초반까지 영화 속에 소리를 삽입하는 것에 대한 우려는 대단했다. 영화의 영상적 가치를 주장했던 많은 무성영화 감독들은 소리가영화에 도입됨으로 인해서 영화의 예술적 가치가 손상된다고 믿었다. 하지만 유성영화 시대가 본격적으로 개막되면서 소리는 단지 영상을 보조하는 역할밖에 하지 못할 거라던 예측은 ㉠기우에불과했음이 밝혀졌다. 소리는 영상을 보조하는 수단뿐만 아니라, 소리 특유의 예술적 창조를 가능하게 했던 것이다. 결론적으로 현대 영화에 와서는 소리의 사용을 무시하고는 작품이 성립하지 않게 되었다.",쓸데없는 걱정이었음,원인과 결과가 뒤바뀌었음,더 큰 일을 불러 일으켰음,예상치 못한 결과를 얻게 되었음,,a,RC
"다음을 읽고 ㉠의 의미로 가장 알맞은 것을 고르십시오.  ### 참고: 사회 전반에서 막말, 센말이 ㉠판을 치다 보니, 부드럽고 순화된 말로는 말의 느낌이 제대로 전달되지 않아 점점 더 자극적이고 센말을 쓰도록 강요 받는 기분이 들 때가 많다. 예능 프로그램에서는 연예인들의 자극적인 말만으로는 성에 차지 않는 듯 그 자극적 표현을 자막으로까지 보여주고있다. 험한 욕설과 막말이 청소년들의 일상 언어가 되고 있다는 최근의 연구 결과는 이러한 형편과무관하지 않을 것이다. 그런데도 가정·학교·사회에서는 바른 말, 고운 말에 대한 교육을 소홀히 하고 있다. 1960~1970년대만 하더라도 초·중·고등학교의 교실에 ‘고운 말을 쓰자’라고 적힌 액자가붙어 있었다. 40∼50년 전이니 지금의 어린이들에 비하면 훨씬 바른 언어생활을 하던 시절이었음에도 언어 교육을 소홀히 하지 않았다. 우리 조상들은 말씨를 한 사람의 인격을 평가하는 중요한기준으로 보았다. 조상들의 이러한 정신이 지니는 의미를 다시 한 번 되새길 때이다.",널리 쓰이다,세력을 부리다,특별하게 써지다,자기 마음대로 하다,,b,RC
"다음을 읽고 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 청각 장애가 있지만 가족의 생계를 위해 물질을 해야 했던 엄마 김기순(64) 씨는 그런 경옥 씨의 스승이자 선배이다. 일찍 남편을 여의고 홀로 두 딸을 키워낸 기순 씨에게 삶의 기회를 준건 바다였다. 한글도 모르고 들리지도 않지만 해녀 일을 하는 데 그런 건 문제가 안 됐다. (나) 해녀들은 실력에 따라 상군, 중군, 하군으로 나뉜다. 초보해녀인 경옥 씨는 최하군으로 일당은하루에 1만 원 정도다. 하지만 상군인 엄마는 하루 일당이 10만 원이나 된다. 경옥 씨는 하루빨리 실력을 키워 엄마처럼 상군이 되는 게 목표다. 그리고 청각 장애가 있는 엄마에게 귀와입이 되어주며 엄마가 여생을 딸의 효도를 받으며 행복하게 살길 바라는 마음이다.(다) '인간극장'은 15-19일 오전 7시50분 '엄마의 바다'를 방송한다. 프로그램은 제주도에서 만난 모녀 해녀의 이야기를 전한다. 부산으로 시집갔다가 사업 실패와 남편의 건강악화 때문에 제주로 돌아온 강경옥(35) 씨는 이제 막 물질을 시작한 초보 해녀다.(라) 고향에 돌아온 경옥 씨는 새롭게 삶의 터전을 일구기 위해 농사와 물질을 함께 시작했다. 남들은 농사도 벅찬데 그 어려운 물질을 어떻게 하겠냐고 걱정했지만 경옥 씨의 뒤에는 엄마가 있다. 엄마는 고향에 돌아온 딸을 위해 물심양면 지원을 아끼지 않는다.",(가)-(나)-(나)-(라),(가)-(다)-(나)-(라),(다)-(가)-(라)-(나),(다)-(라)-(가)-(나),,d,RC
"다음을 읽고 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 서울 올림픽공원에서 지난 15일 열린 록 페스티벌의 마지막 무대는 김정운이 장식했다. 올해19집 앨범으로 세대를 뛰어넘어 호응을 얻은 김정운의 첫 록 페스티벌 출연으로 기대를 모은공연이었다. (나) 앙코르 무대는 여러 곡을 연속해서 들려주는 형식이었다. 김정운도 관객의 호응에 힘입어 노래를 부르다 객석으로 내려가 관객과 손을 마주치기도 했다. 마지막 앙코르 곡인 “여행을 떠나요”를 부를 때 관객들은 공연장이 떠나갈 듯이 큰 소리로 합창하였다. 김정운의 개인 콘서트에비해 그다지 화려한 무대는 아니었지만 관객들의 분위기만은 어디에 견주어도 뒤지지 않을정도로 뜨거웠다.(다) 막이 열리며 김정운이 등장하자 2만여 관객은 환호했다. 록 페스티벌의 꽃이라고 불리는 합창은 첫 곡부터 시작됐는데 무대와 객석이 하나가 된 시간이었다. 올해 큰 인기를 얻은 “두근두근”이 등장하자 젊은 관객들의 소리가 높아졌다. 최고의 히트 곡 중 하나인 “친구”가 나올 때는 2, 3층 좌석에 앉은 관객까지 모두 일어나서 손을 흔들며 뛰어올랐다.(라) 본 공연에 앞서 출연한 디제이가 김정운의 음악을 현대적으로 재해석한 곡을 불러 분위기를띄우자 무대 앞의 관객들은 나이를 불문하고 신나게 뛰어 놀았다. 김정운의 음악과 20대를 연결하는 훌륭한 사전 무대이자 준비 운동이었다.",(가)-(라)-(다)-(나),(가)-(나)-(다)-(라),(다)-(라)-(가)-(나),(다)-(가)-(나)-(라),,a,RC
"이 글을 읽고 ㉠에 어울리는 속담을 고르십시오.  ### 참고: 프로스포츠 선수들이 금지 약물을 복용하다 적발되었을 때 관련 업계는 어떻게 반응하는가? (     가 ) 지금까지 일부 구단주나 연맹 관계자들은 적발된 선수에게 적은 벌금을 물리거나 몇 번의출전 정지를 시키는 등 근본적인 해결책이 아닌 ‘㉠’ 식의 대책만을 내놓았다. (     나 ) 또한 선수들은 회피하거나 부인하거나 거짓말을 늘어놓기 마련이었다. (     다 ) 며칠 전, 메이저리그 사무국은 금지 약물 복용 혐의를 받고 있는 13명의 선수에 대한 중징계 처분을 발표했다. 2011년 아메리칸리그 챔피언십 시리즈 최우수 선수 등이 포함된 이들 13명은 50경기 출장 정지 처분이 내려졌다. (     라 ) 사상 최대 규모로 기록될 이번 중징계는 일종의 ‘본보기’라고 할 수 있다.",누워서 떡 먹기,눈 가리고 아웅,도토리 키 재기,가는 말에 채찍질,,b,RC
"다음의 문장이 들어갈 알맞은 곳을 고르십시오. 그러나 최근 들어 금지 약물 복용에 대한 징계처분이 보다 강력하게 이루어지고 있다.  ### 참고: 프로스포츠 선수들이 금지 약물을 복용하다 적발되었을 때 관련 업계는 어떻게 반응하는가? (     가 ) 지금까지 일부 구단주나 연맹 관계자들은 적발된 선수에게 적은 벌금을 물리거나 몇 번의출전 정지를 시키는 등 근본적인 해결책이 아닌 ‘㉠’ 식의 대책만을 내놓았다. (     나 ) 또한 선수들은 회피하거나 부인하거나 거짓말을 늘어놓기 마련이었다. (     다 ) 며칠 전, 메이저리그 사무국은 금지 약물 복용 혐의를 받고 있는 13명의 선수에 대한 중징계 처분을 발표했다. 2011년 아메리칸리그 챔피언십 시리즈 최우수 선수 등이 포함된 이들 13명은 50경기 출장 정지 처분이 내려졌다. (     라 ) 사상 최대 규모로 기록될 이번 중징계는 일종의 ‘본보기’라고 할 수 있다.",(가),(나),(다),(라),,c,RC
"이 글에 대한 내용과 같지 않은 것을 고르십시오.  ### 참고: 여름철, 바닷가에서 물놀이를 하거나 바닷가를 걸을 때 해파리를 주의해야 한다. 보건복지부 자료에 따르면, 지난해 해파리 쏘임 사고는 총 2,039건으로 이중 한 건의 사망사고가 있었다. 해파리에 쏘였다면 어떻게 해야 할까? 일단, 물 밖으로 나와야 하고, 쏘인 부위가 아프다면 바닷물로 10분 이상 씻는다. 민물이나 생수, 알코올 등으로 씻으면 안 된다. 민간요법이라며 식초를 바르는 경우가 있는데, 잘못된 상식이다. 또한 상처부위를 문지르거나 붕대로 감아 압박해서도 안 된다. 바닷물로 씻은 후 상처 부위를 자세히 살펴본다. 촉수가 피부에 남아 있으면 신용카드 같은 걸로살살 긁어내야 하기 때문이다. 벌에 쏘였을 때도 같은 방법으로 하면 벌침이 ‘쏙’ 빠진다. 이렇게 했는데도 오심․구토증상이 있거나 식은땀이 흐르면 바로 의료기관을 찾아야 한다. 무엇보다 예방이우선이다. 해파리는 죽은 것이라도 손으로 직접 만지지 말고, 해변을 걸을 때는 불편하더라도 신발을 신는 것이 좋다. 부유물이나 거품이 많은 곳은 피한다.",해파리에 쏘인 부위는 생수로 씻어야 한다.,해파리 죽은 것을 손으로 만지지 말아야 한다.,상처 부위에 남아 있는 촉수를 꼭 제거해야 한다.,상처 부위에 식초를 바르거나 붕대를 감지 말아야 한다.,,a,RC
"이 글을 읽은 사람의 반응으로 가장 적절한 것을 고르십시오.  ### 참고: 여름철, 바닷가에서 물놀이를 하거나 바닷가를 걸을 때 해파리를 주의해야 한다. 보건복지부 자료에 따르면, 지난해 해파리 쏘임 사고는 총 2,039건으로 이중 한 건의 사망사고가 있었다. 해파리에 쏘였다면 어떻게 해야 할까? 일단, 물 밖으로 나와야 하고, 쏘인 부위가 아프다면 바닷물로 10분 이상 씻는다. 민물이나 생수, 알코올 등으로 씻으면 안 된다. 민간요법이라며 식초를 바르는 경우가 있는데, 잘못된 상식이다. 또한 상처부위를 문지르거나 붕대로 감아 압박해서도 안 된다. 바닷물로 씻은 후 상처 부위를 자세히 살펴본다. 촉수가 피부에 남아 있으면 신용카드 같은 걸로살살 긁어내야 하기 때문이다. 벌에 쏘였을 때도 같은 방법으로 하면 벌침이 ‘쏙’ 빠진다. 이렇게 했는데도 오심․구토증상이 있거나 식은땀이 흐르면 바로 의료기관을 찾아야 한다. 무엇보다 예방이우선이다. 해파리는 죽은 것이라도 손으로 직접 만지지 말고, 해변을 걸을 때는 불편하더라도 신발을 신는 것이 좋다. 부유물이나 거품이 많은 곳은 피한다.",해파리를 발견하면 죽었는지 살았는지 꼭 확인해야 해.,해파리에 쏘인 후 아프다면 상처부위를 꼭 눌러줘야 하는군.,해변을 걸을 땐 해파리가 있을 지도 모르니까 신발이 필수야.,바닷가에서 물놀이를 할 때는 만약을 위해 식초를 준비해 둬야지.,,c,RC
"이 글을 읽고 알 수 있는 내용이 아닌 것을 고르십시오.  ### 참고: 보통 잘 의식하지 못해도 사람이 한 번에 머리로 받아들일 수 있는 정보의 양에는 한계가 있다. 여러 사람이 떠드는 장소에서 친구와 이야기를 하다 보면 주변 사람의 말은 그저 소음으로 들릴 뿐내용은 전혀 들리지 않는다. 여러 사람의 말을 우리 머리가 동시에 받아들이지 못하기 때문이다. 공부할 때도 머리로 받아들일 수 있는 이상으로 정보가 쏟아져 들어오면 그냥 소음이 된다.한편, 슬라이드에 글과 그림을 넣고, 그 글을 읽는 방식으로 강의나 발표를 하는 사람이 무척 많다. 그림에다 글로 보충 설명을 쓰고, 다시 글을 발표자가 소리 내어 읽어주기까지 하니 듣는 사람이 이해하는 데 도움이 될 것 같다. 이에 대해 저명한 학자인 오스트레일리아 뉴사우스웨일스 대학의 심리학자 스웰러는1999년 이런 방식의 강의나 발표가 거꾸로 듣는 사람의 이해를 방해한다는실험 결과를 발표했다. 그는 실험에서 세 그룹의 학생들에게 복잡한 도표 하나를 서로 다른 방식으로 공부하도록 했다. ㉠도표만 보여주고 설명은 말로 읽어주기, 도표와 글로 된 설명을 보여주기, 마지막으로 ㉡도표와 글로 된 설명을 보여주면서 말로 읽어주기이다. 학습 뒤 객관식 시험에서 가장 좋은 성적을 거둔 그룹은 도표만 보여주고 설명을 말로 들은 학생들이었다. 왜 이런 결과가 나타나는 것일까? 도표와 설명을 동시에 보여주면 학생들은 도표와 글을 번갈아보면서 두 가지 내용을 머릿속에서 합쳐야 한다. 눈으로는 도표만 보고 설명은 귀로 듣는 것에 비해 더 수고롭고 더 머리를 써야 하는 일이다. 설명을 읽어주기까지 하면 머리로 해야 할 일은 줄어드는 게 아니라 늘어나는 것이다.",글과 그림을 보여주며 강의하는 방식이 가장 좋은 것은 아니다.,여러 사람이 떠드는 장소에서 주변의 이야기도 잘 들어볼 필요가 있다.,공부를 잘 하기 위해서는 받아들일 수 있는 만큼 정보를 전달해야 한다.,학생들의 성적으로 도표와 설명을 어떻게 전달해야 하는지 짐작할 수 있다.,,b,RC
